,,2002
33611,Automobile and light-duty motor vehicle manufacturing,38930.073
21111,Oil and gas extraction (except oil sands),23283.304
32212,Paper mills,8360.615
33641,Aerospace product and parts manufacturing,8298.906
32111,Sawmills and wood preservation,7487.011
32411,Petroleum refineries,5939.873
33131,Alumina and aluminum production and processing,4617.614
32211,Pulp mills,4459.67
32619,Other plastic product manufacturing,3643.238
33361,"Engine, turbine and power transmission equipment manufacturing",3563.998
32521,Resin and synthetic rubber manufacturing,3411.911
33631,Motor vehicle gasoline engine and engine parts manufacturing,3353.131
31161,Animal slaughtering and processing,3333.34
33141,Non-ferrous metal (except aluminum) smelting and refining,3297.585
33411,Computer and peripheral equipment manufacturing,2925.524
32121,"Veneer, plywood and engineered wood product manufacturing",2877.177
33639,Other motor vehicle parts manufacturing,2706.233
21239,Other non-metallic mineral mining and quarrying,2479.986
33441,Semiconductor and other electronic component manufacturing,2472.705
33421,Telephone apparatus manufacturing,2467.382
33637,Motor vehicle metal stamping,2438.402
33111,Iron and steel mills and ferro-alloy manufacturing,2286.463
31171,Seafood product preparation and packaging,2202.559
33612,Heavy-duty truck manufacturing,2185.479
33635,Motor vehicle transmission and power train parts manufacturing,2134.284