"industry_code";"year";"export_value"
11111;2002;86790.64
11111;2003;86386.71
11111;2004;96376.36
11111;2005;105070.04
11111;2006;112445.37
11111;2007;116087.38
11111;2008;119141.4
11111;2009;89006.54
11111;2010;97679.81
11111;2011;109639.18
11111;2012;112435.7
11111;2013;114781.92
11111;2014;119570.39
11111;2015;118547.46
11111;2016;116760.47
11111;2017;119478.7
11111;2018;126236.51
11111;2019;126493.74
11111;2020;117213.4
11111;2021;139522.24
11111;2022;156074.49
11111;2023;160915.73
11111;2024;159799.93
11112;2008;4333.86
11112;2009;3481.92
11112;2010;3769.12
11112;2011;5036.91
11112;2012;5632.71
11112;2013;4761.57
11112;2014;5314.14
11112;2015;4431.87
11112;2016;4788.21
11112;2017;5431.53
11112;2018;4897.29
11112;2019;3594.13
11112;2020;5132.17
11112;2021;5556.65
11113;2015;3303.82
11113;2016;3114.74
11114;2007;4371.71
11114;2008;6557.54
11114;2009;5274.15
11114;2010;4537.19
11114;2011;5744.91
11114;2012;6155.04
11114;2013;6493.56
11114;2014;7203.69
11114;2015;6220.95
11114;2016;4508.26
11114;2017;5092.91
11114;2018;5716.41
11114;2019;5390.98
11114;2020;6305.3
11114;2021;6650.33
11114;2022;7960.18
21111;2002;2479.99
21111;2003;2906.13
21111;2004;40329.95
21111;2005;4199.69
21111;2006;58310.69
21111;2007;65446.24
21111;2008;95437.52
21111;2009;51762.78
21111;2010;65980.28
21111;2011;83767.98
21111;2012;84040.43
21111;2013;90204.15
21111;2014;103097.48
21111;2015;58280.84
21111;2016;46168.76
21111;2017;62053.02
21111;2018;74820.65
21111;2019;74998.1
21111;2020;52773.63
21111;2021;93101.71
21111;2022;140020.65
21111;2023;106300.24
21111;2024;108432.22
21211;2008;5788.79
21211;2009;4353.32
21211;2010;5835.01
21211;2011;8114.33
21211;2012;6344.84
21211;2013;5364.53
21211;2014;3786.49
21211;2016;3362.69
21211;2017;5217.55
21211;2018;5809.74
21211;2019;5344.67
21211;2021;6105.09
21211;2022;10792.56
21221;2009;2950.63
21221;2010;3098.03
21221;2011;4223.43
21221;2012;4155.45
21221;2013;4420.9
21221;2014;3997.26
21221;2017;3514.92
21221;2018;4112.89
21221;2019;4947.3
21221;2020;5715.82
21221;2021;8079.66
21221;2022;6758.52
21222;2005;3407.72
21222;2006;4768.16
21222;2007;5500.25
21222;2008;7676.7
21222;2009;7308.9
21222;2010;13413.05
21222;2011;17001.94
21222;2012;15312.64
21222;2013;15658.96
21222;2014;14982.38
21222;2015;12374.52
21222;2016;12407.12
21222;2017;13173.36
21222;2018;12269.35
21222;2019;15777.27
21222;2020;16097.11
21222;2021;14954.38
21222;2022;18327.26
21222;2023;8140.28
21222;2024;5936.54
21223;2011;3822.47
21223;2014;3672.88
21223;2015;3206.07
21223;2020;3614.74
21239;2002;2472.71
21239;2003;2563.6
21239;2004;3615.96
21239;2005;3573.42
21239;2006;4110.2
21239;2007;5082.03
21239;2008;9032.82
21239;2009;5278.64
21239;2010;7961.48
21239;2011;9887.56
21239;2012;8716.0
21239;2013;8115.68
21239;2014;7557.81
21239;2015;7680.6
21239;2016;5468.64
21239;2017;6413.41
21239;2018;7705.0
21239;2019;7248.88
21239;2020;6284.35
21239;2021;8162.57
21239;2022;15333.01
21239;2023;4323.93
21239;2024;3690.65
31122;2010;3135.13
31122;2011;4581.93
31122;2012;5184.37
31122;2013;4697.25
31122;2014;4209.11
31122;2015;3892.47
31122;2016;4196.91
31122;2017;4500.88
31122;2018;4852.14
31122;2019;4578.16
31122;2020;4965.7
31122;2021;7010.95
31122;2022;8057.29
31122;2023;7358.47
31122;2024;6330.88
31161;2002;4617.61
31161;2003;5024.05
31161;2004;4159.36
31161;2005;6802.88
31161;2006;4152.57
31161;2007;4251.95
31161;2008;4783.2
31161;2009;4114.4
31161;2010;5009.37
31161;2011;5605.78
31161;2012;5466.68
31161;2013;5485.71
31161;2014;6217.95
31161;2015;5425.49
31161;2016;5534.07
31161;2017;5871.61
31161;2018;6009.04
31161;2019;6532.24
31161;2020;7126.01
31161;2021;8740.72
31161;2022;8704.06
31161;2023;5311.9
31161;2024;5091.34
31171;2002;2134.28
31171;2016;3302.51
31171;2017;3618.85
31171;2019;3684.24
31171;2021;4911.06
31181;2023;3598.52
31181;2024;3975.98
32111;2002;7487.01
32111;2003;6906.06
32111;2004;9462.6
32111;2005;9272.37
32111;2006;8844.81
32111;2007;7631.15
32111;2008;5679.94
32111;2009;3945.95
32111;2010;5497.31
32111;2011;6064.6
32111;2012;6358.45
32111;2013;7855.85
32111;2014;8260.11
32111;2015;7356.71
32111;2016;8237.33
32111;2017;8725.33
32111;2018;8509.45
32111;2019;6586.99
32111;2020;8031.99
32111;2021;13834.31
32111;2022;11318.13
32111;2023;5927.28
32111;2024;5941.32
32121;2002;2925.52
32121;2003;2880.21
32121;2004;5341.44
32121;2005;3382.92
32121;2006;4312.01
32121;2018;3585.15
32121;2020;3548.18
32121;2021;6396.61
32121;2022;5972.34
32121;2023;4142.92
32121;2024;4344.78
32211;2002;8360.62
32211;2003;8368.5
32211;2004;5539.69
32211;2005;9834.41
32211;2006;5736.04
32211;2007;6621.34
32211;2008;6556.52
32211;2009;4446.43
32211;2010;6813.53
32211;2011;7286.96
32211;2012;6434.91
32211;2013;6551.0
32211;2014;6528.81
32211;2015;6011.42
32211;2016;5445.4
32211;2017;6029.14
32211;2018;7236.19
32211;2019;5824.11
32211;2020;4807.4
32211;2021;5851.36
32211;2022;6539.15
32212;2002;3333.34
32212;2003;3235.09
32212;2004;9194.11
32212;2005;4604.34
32212;2006;9690.05
32212;2007;9104.87
32212;2008;9581.41
32212;2009;7055.56
32212;2010;7040.44
32212;2011;7203.07
32212;2012;6081.78
32212;2013;6042.34
32212;2014;5979.05
32212;2015;5098.49
32212;2016;4546.2
32212;2017;4419.97
32212;2018;4953.7
32212;2019;4434.63
32212;2020;3588.22
32212;2022;4867.58
32212;2023;3534.19
32212;2024;3489.75
32411;2002;2877.18
32411;2003;3858.0
32411;2004;9060.61
32411;2005;5186.33
32411;2006;13517.43
32411;2007;15338.12
32411;2008;20823.31
32411;2009;12974.56
32411;2010;17530.1
32411;2011;21340.83
32411;2012;23231.07
32411;2013;21728.7
32411;2014;18516.84
32411;2015;13330.6
32411;2016;9810.73
32411;2017;14170.32
32411;2018;15857.58
32411;2019;15471.23
32411;2020;9758.0
32411;2021;16996.43
32411;2022;24851.5
32411;2023;17271.07
32411;2024;17550.43
32518;2006;3310.58
32518;2007;5231.72
32518;2008;4045.51
32518;2009;2871.09
32518;2010;3555.04
32518;2011;4803.97
32518;2012;4011.69
32518;2013;4078.77
32518;2015;3265.22
32518;2024;3412.94
32519;2013;3667.26
32519;2014;3830.65
32519;2023;3380.36
32521;2002;3643.24
32521;2003;4121.62
32521;2004;4712.95
32521;2005;4720.65
32521;2006;6311.96
32521;2007;6410.88
32521;2008;6655.24
32521;2009;4187.92
32521;2010;5379.58
32521;2011;6546.75
32521;2012;6336.54
32521;2013;6867.69
32521;2014;7193.87
32521;2015;6367.75
32521;2016;5987.2
32521;2017;5957.45
32521;2018;6637.05
32521;2019;5866.45
32521;2020;5292.5
32521;2021;8145.32
32521;2022;7722.09
32521;2023;5516.08
32521;2024;5705.71
32541;2003;2426.78
32541;2004;3081.77
32541;2005;3580.05
32541;2006;4799.18
32541;2007;6328.47
32541;2008;6348.97
32541;2009;6627.76
32541;2010;5979.55
32541;2011;5263.96
32541;2012;5551.68
32541;2013;5878.87
32541;2014;7516.49
32541;2015;8185.69
32541;2016;8856.2
32541;2017;6823.64
32541;2018;8486.21
32541;2019;9168.38
32541;2020;9182.24
32541;2021;10569.68
32541;2022;11671.42
32541;2023;7302.72
32541;2024;9226.09
32619;2002;5939.87
32619;2003;7670.99
32619;2004;4312.31
32619;2005;12136.22
32619;2006;4784.83
32619;2007;4706.19
32619;2008;3966.45
32619;2009;2799.93
32619;2010;3464.93
32619;2012;3835.77
32619;2013;3945.21
32619;2014;4245.97
32619;2015;4302.79
32619;2016;4275.78
32619;2017;4432.4
32619;2018;4694.45
32619;2019;4547.46
32619;2020;4252.77
32619;2021;5216.55
32619;2022;5814.87
32619;2023;5511.9
32619;2024;5560.4
33111;2002;3353.13
33111;2003;3669.56
33111;2004;2982.12
33111;2005;4166.55
33111;2006;4041.03
33111;2007;4555.94
33111;2008;6520.03
33111;2009;3259.67
33111;2010;5160.45
33111;2011;5435.56
33111;2012;5193.99
33111;2013;4700.81
33111;2014;5247.6
33111;2015;4418.51
33111;2016;4110.59
33111;2017;4938.01
33111;2018;5224.18
33111;2019;4471.51
33111;2020;3914.85
33111;2021;7820.78
33111;2022;8524.69
33111;2023;6660.26
33111;2024;6203.42
33131;2002;4459.67
33131;2003;4907.63
33131;2004;5780.64
33131;2005;5223.36
33131;2006;9320.37
33131;2007;9744.54
33131;2008;9337.3
33131;2009;5522.56
33131;2010;7545.87
33131;2011;8418.25
33131;2012;7156.04
33131;2013;7115.98
33131;2014;7328.51
33131;2015;6695.05
33131;2016;6553.66
33131;2017;8065.59
33131;2018;8223.0
33131;2019;6672.57
33131;2020;6795.34
33131;2021;9964.92
33131;2022;11619.49
33131;2023;9494.59
33131;2024;9662.43
33141;2002;3297.59
33141;2003;3625.78
33141;2004;5707.67
33141;2005;6298.42
33141;2006;10181.44
33141;2007;16054.96
33141;2008;12390.05
33141;2009;6671.12
33141;2010;10328.45
33141;2011;13848.98
33141;2012;11232.63
33141;2013;9951.23
33141;2014;9936.95
33141;2015;8939.38
33141;2016;7752.92
33141;2017;7791.99
33141;2018;8460.25
33141;2019;7928.77
33141;2020;8043.82
33141;2021;9755.5
33141;2022;10668.48
33141;2023;5097.62
33141;2024;5024.41
33324;2003;2281.99
33324;2007;3487.86
33324;2008;3584.78
33324;2009;3010.42
33324;2023;3439.36
33324;2024;3322.53
33331;2019;3585.2
33361;2002;3411.91
33361;2003;3837.97
33361;2004;3381.53
33361;2005;5640.94
33361;2006;4145.9
33361;2007;4718.12
33361;2008;5048.1
33361;2009;4015.55
33361;2010;4519.92
33361;2011;4916.98
33361;2012;5087.81
33361;2013;4892.89
33361;2014;5402.0
33361;2015;5163.98
33361;2016;5106.94
33361;2017;5684.51
33361;2018;6133.25
33361;2019;5875.23
33361;2020;4452.88
33361;2021;4880.0
33361;2022;5470.42
33361;2023;4605.9
33361;2024;4597.44
33411;2002;3564.0
33411;2003;3051.06
33411;2004;3254.93
33411;2005;3809.57
33411;2006;3595.11
33411;2007;3848.42
33411;2008;3768.91
33421;2002;38930.07
33421;2003;38473.4
33421;2004;2708.97
33421;2005;44607.1
33421;2006;4262.61
33422;2007;4436.22
33422;2008;3707.23
33422;2009;2881.14
33441;2004;3054.61
33441;2005;3131.03
33451;2002;23283.3
33451;2003;33420.82
33451;2004;2738.1
33451;2005;54769.51
33451;2006;3664.56
33451;2007;3939.62
33451;2008;4189.27
33451;2009;3436.95
33451;2010;3731.92
33451;2011;4184.0
33451;2012;4302.67
33451;2013;4317.13
33451;2014;4379.51
33451;2015;4483.92
33451;2016;4431.22
33451;2017;4634.01
33451;2018;4914.47
33451;2019;4850.39
33451;2020;4154.96
33451;2021;4555.56
33451;2022;5191.99
33451;2023;3374.85
33451;2024;3531.32
33531;2023;3825.96
33531;2024;4669.11
33611;2002;2438.4
33611;2003;2804.74
33611;2004;43649.85
33611;2006;44037.17
33611;2007;44570.46
33611;2008;33981.92
33611;2009;23391.5
33611;2010;36387.27
33611;2011;39176.59
33611;2012;46235.03
33611;2013;44410.9
33611;2014;43990.61
33611;2015;43472.01
33611;2016;47451.54
33611;2017;45554.23
33611;2018;41502.27
33611;2019;41741.42
33611;2020;30293.02
33611;2021;26258.78
33611;2022;29762.03
33611;2023;38898.41
33611;2024;32495.28
33612;2002;2286.46
33612;2003;2303.82
33612;2004;2999.22
33612;2005;3688.77
33612;2006;4937.74
33612;2024;3913.15
33631;2004;4191.94
33631;2006;3739.67
33631;2007;3997.72
33631;2010;3385.55
33631;2012;3638.39
33631;2015;3642.79
33631;2016;3619.49
33631;2017;3358.19
33631;2023;3626.72
33631;2024;3143.65
33635;2002;2185.48
33635;2003;2301.92
33635;2005;4122.92
33637;2002;2467.38
33637;2004;2882.74
33637;2005;3440.39
33639;2002;2706.23
33639;2003;3045.42
33639;2004;3229.06
33639;2005;3541.1
33639;2006;3434.33
33639;2007;3175.12
33641;2002;8298.91
33641;2003;8690.91
33641;2004;8206.62
33641;2005;9058.21
33641;2006;9852.35
33641;2007;11547.24
33641;2008;10936.26
33641;2009;10881.24
33641;2010;10863.05
33641;2011;10905.19
33641;2012;11559.79
33641;2013;11781.64
33641;2014;13993.57
33641;2015;13871.62
33641;2016;11834.09
33641;2017;11799.36
33641;2018;12681.21
33641;2019;13120.98
33641;2020;10916.26
33641;2021;12301.0
33641;2022;11961.78
33641;2023;9474.98
33641;2024;9962.19
33991;2020;3574.72
33991;2021;5596.3
33991;2022;5230.62
33991;2023;3223.95
41811;2011;3923.12
41811;2018;3620.77
41811;2022;4828.13
