21111,Oil and gas extraction (except oil sands),83767.983,1
33611,Automobile and light-duty motor vehicle manufacturing,39176.588,1
32411,Petroleum refineries,21340.825,1
21222,Gold and silver ore mining,17001.938,1
33141,Non-ferrous metal (except aluminum) smelting and refining,13848.982,1
33641,Aerospace product and parts manufacturing,10905.193,1
21239,Other non-metallic mineral mining and quarrying,9887.56,1
33131,Alumina and aluminum production and processing,8418.249,1
21211,Coal mining,8114.332,1
32211,Pulp mills,7286.961,1
32212,Paper mills,7203.066,1
32521,Resin and synthetic rubber manufacturing,6546.75,1
32111,Sawmills and wood preservation,6064.596,1
11114,Wheat farming,5744.906,1
31161,Animal slaughtering and processing,5605.781,1
33111,Iron and steel mills and ferro-alloy manufacturing,5435.559,1
32541,Pharmaceutical and medicine manufacturing,5263.957,1
11112,Oilseed (except soybean) farming,5036.913,1
33361,"Engine, turbine and power transmission equipment manufacturing",4916.979,1
32518,Other basic inorganic chemical manufacturing,4803.968,1
31122,Starch and vegetable fat and oil manufacturing,4581.93,1
21221,Iron ore mining,4223.43,1
33451,"Navigational, measuring, medical and control instruments manufacturing",4184,1
41811,Recyclable metal merchant wholesalers,3923.119,1
21223,"Copper, nickel, lead and zinc ore mining",3822.465,1